"Technician","Sample ID","DateTime","Plate Type","Dilution","Barcode Text","Red Raw Count","Red with Gas Raw Count","Blue Raw Count","Blue with Gas Raw Count","Comment"
"SYSTEM ADMINISTRATOR","Verification - Pass","1/15/2022 10:21:13 AM","VE",NA,"-","-","-","-","-","-"
"SYSTEM ADMINISTRATOR","","1/15/2022 10:21:30 AM","AC","1:1","","2","-","-","-",""
"SYSTEM ADMINISTRATOR","","1/15/2022 10:21:38 AM","AC","1:1","","0","-","-","-",""
"SYSTEM ADMINISTRATOR","300-1","1/15/2022 10:21:48 AM","AC","1:1","","2","-","-","-",""
"SYSTEM ADMINISTRATOR","300-2","1/15/2022 10:22:00 AM","AC","1:1","","0","-","-","-",""
"SYSTEM ADMINISTRATOR","301-1","1/15/2022 10:22:11 AM","AC","1:1","","62","-","-","-",""
"SYSTEM ADMINISTRATOR","301-2","1/15/2022 10:22:18 AM","AC","1:1","","3","-","-","-",""
"SYSTEM ADMINISTRATOR","302-1","1/15/2022 10:22:26 AM","AC","1:1","","27","-","-","-",""
"SYSTEM ADMINISTRATOR","302-2","1/15/2022 10:22:31 AM","AC","1:1","","2","-","-","-",""
"SYSTEM ADMINISTRATOR","304-1","1/15/2022 10:22:37 AM","AC","1:1","","70","-","-","-",""
"SYSTEM ADMINISTRATOR","304-2","1/15/2022 10:22:43 AM","AC","1:1","","6","-","-","-",""
"SYSTEM ADMINISTRATOR","304.2-1","1/15/2022 10:23:00 AM","AC","1:1","","999","-","-","-",""
"SYSTEM ADMINISTRATOR","304.2-2","1/15/2022 10:23:08 AM","AC","1:1","","0","-","-","-",""
"SYSTEM ADMINISTRATOR","305-1","1/15/2022 10:23:29 AM","AC","1:1","","19","-","-","-",""
"SYSTEM ADMINISTRATOR","305-2","1/15/2022 10:23:36 AM","AC","1:1","","3","-","-","-",""
"SYSTEM ADMINISTRATOR","305.2-1","1/15/2022 10:23:50 AM","AC","1:1","","999","-","-","-","TNTC"
"SYSTEM ADMINISTRATOR","305.2-2","1/15/2022 10:24:40 AM","AC","1:1","","999","-","-","-",""
"SYSTEM ADMINISTRATOR","306-1","1/15/2022 10:25:08 AM","AC","1:1","","999","-","-","-","TNTC"
"SYSTEM ADMINISTRATOR","306-2","1/15/2022 10:25:39 AM","AC","1:1","","263","-","-","-",""
"SYSTEM ADMINISTRATOR","307-1","1/15/2022 10:27:11 AM","AC","1:1","","844","-","-","-",""
"SYSTEM ADMINISTRATOR","307-2","1/15/2022 10:27:18 AM","AC","1:1","","96","-","-","-",""
"SYSTEM ADMINISTRATOR","307.2-1","1/15/2022 10:27:37 AM","AC","1:1","","728","-","-","-",""
"SYSTEM ADMINISTRATOR","307.2-2","1/15/2022 10:27:46 AM","AC","1:1","","88","-","-","-",""
"SYSTEM ADMINISTRATOR","308-1","1/15/2022 10:28:07 AM","AC","1:1","","19","-","-","-",""
"SYSTEM ADMINISTRATOR","308-2","1/15/2022 10:28:14 AM","AC","1:1","","999","-","-","-",""
"SYSTEM ADMINISTRATOR","308.2-1","1/15/2022 10:31:49 AM","AC","1:1","","999","-","-","-",""
"SYSTEM ADMINISTRATOR","308.2-2","1/15/2022 10:31:57 AM","AC","1:1","","999","-","-","-",""
"SYSTEM ADMINISTRATOR","","1/15/2022 10:34:17 AM","RAC","1:1","","3","-","-","-",""
"SYSTEM ADMINISTRATOR","","1/15/2022 10:34:57 AM","RAC","1:1","","2","-","-","-",""
"SYSTEM ADMINISTRATOR","","1/15/2022 10:35:10 AM","RAC","1:1","","3","-","-","-",""
"SYSTEM ADMINISTRATOR","","1/15/2022 10:35:30 AM","RAC","1:1","","0","-","-","-",""
"SYSTEM ADMINISTRATOR","296-1","1/15/2022 10:36:14 AM","RAC","1:1","","13","-","-","-",""
"SYSTEM ADMINISTRATOR","296-2","1/15/2022 10:36:58 AM","RAC","1:1","","0","-","-","-",""
"SYSTEM ADMINISTRATOR","296-1","1/15/2022 10:37:12 AM","RAC","1:1","","6","-","-","-",""
"SYSTEM ADMINISTRATOR","296-2","1/15/2022 10:37:53 AM","RAC","1:1","","4","-","-","-",""
